DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	Form
Cavineña	1531	BRANCH	branch	-aa
Cavineña	1592	CHEST	chest	-akwa
Cavineña	1307	LANGUAGE	language	-ana
Cavineña	1205	TONGUE	tongue	-ana
Cavineña	1248	EYE	eye	-atuka
Cavineña	1405	NAME	name	-bakani
Cavineña	1560	FACE	face	-bawa, eketi
Cavineña	1291	BACK	back	-bebakwa, -tibu
Cavineña	1673	ARM	arm	-bi
Cavineña	1204	BARK	bark	-biti
Cavineña	580	FUR	fur	-biti
Cavineña	690	BOTTOM	bottom	-busu, -tibu
Cavineña	1393	HORN (ANATOMY)	horn (anatomy)	-dana
Cavineña	2252	PATH	path	-diji
Cavineña	628	LEAF	leaf	-jaki
Cavineña	688	LUNG	lung	-jasa
Cavineña	744	EGG	egg	-ka
Cavineña	1507	FRUIT	fruit	-kaka
Cavineña	797	TESTICLES	testicles	-kaka
Cavineña	816	HALF	half	-kare
Cavineña	1201	FEATHER	feather	-kata, ududu
Cavineña	420	FOREST	forest	-kike
Cavineña	674	MOUTH	mouth	-kwatsa, -atsanaka
Cavineña	1382	NEEDLE (FOR SEWING)	needle (for sewing)	-kwija
Cavineña	1480	BODY	body	-kwita
Cavineña	318	FOOTPRINT	footprint	-mekware
Cavineña	1766	FINISH	finish	-meshuru
Cavineña	1303	FINGER	finger	-metuku
Cavineña	948	WATER	water	-na
Cavineña	942	HONEY	honey	-nakaka, waja
Cavineña	1223	HEART	heart	-niju
Cavineña	834	BUTTOCKS	buttocks	-tada
Cavineña	1224	LIVER	liver	-takwa
Cavineña	1183	PALM OF HAND	palm of hand	-takwa
Cavineña	1301	FOOT	foot	-tibu, -wachi
Cavineña	221	FIRE	fire	-tiki
Cavineña	212	FIELD	field	-tipare
Cavineña	239	FLOWER	flower	-tsa
Cavineña	1297	LEG	leg	-tsaka
Cavineña	1583	BRAIN	brain	-tsapuna
Cavineña	189	HAIR (BODY)	hair (body)	-tsaru
Cavineña	2648	HAIR (HEAD)	hair (head)	-tsaru
Cavineña	1394	BONE	bone	-tsau
Cavineña	1380	TOOTH	tooth	-tse
Cavineña	1221	NOSE	nose	-wikani
Cavineña	1711	TELL	tell	a-, kweja
Cavineña	1047	PURSUE	pursue	aaje
Cavineña	48	BE SILENT	be silent	abakatana
Cavineña	700	CARRY	carry	abu
Cavineña	3898	ACCEPT	accept	acepta a
Cavineña	1246	SMALL	small	achacha
Cavineña	707	REMEMBER	remember	adeba
Cavineña	2248	KNOW (SOMEBODY)	know (somebody)	adeba, bawe ju-
Cavineña	1410	KNOW (SOMETHING)	know (something)	adeba, bawe ju-
Cavineña	2006	FILL	fill	aikwana, jeke
Cavineña	1257	WING	wing	ajapara
Cavineña	1443	WALK	walk	aje
Cavineña	1157	BECAUSE	because	akere, amere
Cavineña	906	TREE	tree	akwi
Cavineña	1269	NO	no	ama
Cavineña	946	BLOOD	blood	ami
Cavineña	1416	SIT	sit	ani
Cavineña	706	DARK	dark	apu
Cavineña	761	COVER	cover	apu, papa, rama
Cavineña	1339	MORNING	morning	apudajudya
Cavineña	2297	DUSK	dusk	apuna
Cavineña	1233	NIGHT	night	apuna, chine, meta
Cavineña	1388	SHADE	shade	aputa
Cavineña	1336	EAT	eat	ara
Cavineña	1202	BIG	big	ari, ebari
Cavineña	1230	DIRTY	dirty	asika
Cavineña	1644	RELATIVES	relatives	ata
Cavineña	811	SOUL	soul	atanana
Cavineña	1402	BREAST	breast	atsu
Cavineña	1200	HUSBAND	husband	awe, awi
Cavineña	1287	COLD	cold	ba
Cavineña	1409	SEE	see	ba
Cavineña	1435	HUNT	hunt	babi, kwaji
Cavineña	1313	MOON	moon	badi
Cavineña	1726	WET	wet	badu, naka
Cavineña	1419	FEAR (BE AFRAID)	fear (be afraid)	baji
Cavineña	781	FEAR (FRIGHT)	fear (fright)	baji
Cavineña	1309	ASK (INQUIRE)	ask (inquire)	baka
Cavineña	1828	ASK (REQUEST)	ask (request)	baka
Cavineña	1408	HEAR	hear	baka
Cavineña	730	SNAKE	snake	bakwa
Cavineña	1304	CHILD (YOUNG HUMAN)	child (young human)	bakwa, ebakwa
Cavineña	1274	SALT	salt	banu
Cavineña	2504	DIFFERENT	different	bape
Cavineña	1732	SKY	sky	barepa
Cavineña	2790	HIGH OR TALL	high or tall	baru
Cavineña	143	HUMID	humid	bati
Cavineña	692	BRING	bring	be
Cavineña	624	LAKE	lake	bei
Cavineña	2308	THIN	thin	beje
Cavineña	1588	TURN	turn	benu, warere
Cavineña	1498	TWO	two	beta
Cavineña	1439	SWIM	swim	betsa
Cavineña	1392	LOUSE	louse	bia
Cavineña	1631	FAST	fast	bida, weni
Cavineña	2117	DESIRE	desire	biji
Cavineña	919	CHILI PEPPER	chili pepper	biju
Cavineña	1210	HEAVY	heavy	bikwe
Cavineña	1793	BAT	bat	bina
Cavineña	1517	WASP	wasp	bira
Cavineña	763	SKIN	skin	biti
Cavineña	897	SWALLOW	swallow	buiji
Cavineña	765	MOVE	move	bukuku
Cavineña	3020	BREAK (BREAKING)	break (breaking)	buri, rake
Cavineña	1602	WAKE UP	wake up	bushuisha
Cavineña	2014	GO DOWN (DESCEND)	go down (descend)	bute
Cavineña	1422	BE ALIVE	be alive	chacha
Cavineña	499	CURE	cure	chachane, sama
Cavineña	1735	TEAR (SHRED)	tear (shred)	chaja, siri
Cavineña	2009	DOG	dog	chapa
Cavineña	21	TASTE (SOMETHING)	taste (something)	chiba
Cavineña	634	MEAT	meat	chichi, -rami
Cavineña	713	STEAL	steal	chiri
Cavineña	493	FIVE	five	cinco, pishika
Cavineña	1500	FOUR	four	cuatro, pushi
Cavineña	719	FIND	find	dadi
Cavineña	479	GROW	grow	dane
Cavineña	112	TURTLE	turtle	dati
Cavineña	1593	DEEP	deep	de
Cavineña	3924	MALE ANIMAL	male animal	deka
Cavineña	1509	MOSQUITO	mosquito	dii
Cavineña	676	SHIT (DEFECATE)	shit (defecate)	dumi
Cavineña	819	STOMACH	stomach	dumijiti
Cavineña	772	BELT	belt	dure
Cavineña	98	ALL	all	dutya
Cavineña	1564	LAZY	lazy	dyai
Cavineña	1209	I	i	ea, I
Cavineña	1252	HOUSE	house	eaniki, -tare
Cavineña	256	FOOD	food	earaki
Cavineña	1100	COOK (SOMETHING)	cook (something)	earaki a, jina
Cavineña	2019	HAMMOCK	hammock	ebadeki
Cavineña	1646	GIRL	girl	ebakujunapiji
Cavineña	1473	FIST	fist	ebipukaka
Cavineña	1371	KNEE	knee	edanaka
Cavineña	1850	COTTON	cotton	eduki
Cavineña	1606	INSIDE	inside	eduku
Cavineña	539	NEST	nest	eja
Cavineña	1616	CLOTH	cloth	ejutuki
Cavineña	1251	BELLY	belly	ekarekani
Cavineña	1212	WE	we	ekwana
Cavineña	301	CHIEFTAIN	chieftain	ekwari, waraji
Cavineña	478	LIP	lip	ekwatsabiti
Cavineña	1510	CHIN	chin	ekweduku
Cavineña	683	PERSON	person	ekwita
Cavineña	1485	BELOW OR UNDER	below or under	emake
Cavineña	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	enajewe
Cavineña	3230	DECEIVE	deceive	engaño
Cavineña	489	KIDNEY	kidney	epekaka
Cavineña	801	RIB	rib	eperekatse
Cavineña	3609	TOWN OR VILLAGE	town or village	epu
Cavineña	1033	GRIND	grind	eri
Cavineña	1372	MEDICINE	medicine	esamaki, kasamati
Cavineña	1229	OLD	old	esiri
Cavineña	1325	FRIEND	friend	etajiki, situ
Cavineña	1730	CHEEK	cheek	etamu
Cavineña	1567	DOOR	door	eteriki
Cavineña	646	ASH	ash	etikimuru
Cavineña	3287	BLOOM	bloom	etsa ju, kashashati, katsati
Cavineña	1346	THROAT	throat	etsurikani, rumu
Cavineña	994	BOW	bow	etununu
Cavineña	1250	JAGUAR	jaguar	iba
Cavineña	1741	ABOVE	above	idyake
Cavineña	1247	EAR	ear	ijaka
Cavineña	1879	DANCE	dance	ijawe ju
Cavineña	1343	SUN	sun	ijeti
Cavineña	1456	THROW	throw	ijewe
Cavineña	1401	DRINK	drink	iji
Cavineña	728	FIRST	first	ikwene
Cavineña	1448	HOLD	hold	ina
Cavineña	2271	THINK	think	inimetupu, kabati
Cavineña	1886	ARMPIT	armpit	inyukwija
Cavineña	996	DEAF	deaf	isawe
Cavineña	214	STRETCH	stretch	iserere, itinu, riru
Cavineña	1897	HELP	help	ishusha, tsawa
Cavineña	1909	SHAKE	shake	itata, wisha
Cavineña	1452	PUSH	push	itusha
Cavineña	1220	TAIL	tail	iwa
Cavineña	1590	WAIT (FOR)	wait (for)	iwa
Cavineña	1084	CALL	call	iwara
Cavineña	2907	ROT	rot	iwina, riri
Cavineña	998	PUT	put	iya
Cavineña	1752	LEAVE	leave	iya, jaka, shana
Cavineña	1376	NOW	now	iyaja, riyakama
Cavineña	1417	KILL	kill	iye
Cavineña	1256	HEAD	head	iyuka
Cavineña	923	LOVE	love	iyuwe
Cavineña	1892	TOUCH	touch	jaba
Cavineña	677	AXE	axe	jacha
Cavineña	1577	AND	and	jadya
Cavineña	1554	MAN	man	jadya
Cavineña	227	FISH	fish	jae
Cavineña	2638	FISHING	fishing	jae ju-, wikamutya ju-
Cavineña	1906	SOUR	sour	jaku
Cavineña	1185	VULTURE	vulture	jamani
Cavineña	1761	YOUNGER SISTER	younger sister	jana
Cavineña	1406	FAR	far	japa
Cavineña	1791	BUTTERFLY	butterfly	japipi
Cavineña	1411	LIE (REST)	lie (rest)	jara
Cavineña	1129	PAINFUL	painful	jari, ujera
Cavineña	1728	ROTTEN	rotten	jasa
Cavineña	1052	LIGHT (WEIGHT)	light (weight)	jata
Cavineña	1760	YOUNGER BROTHER	younger brother	jau
Cavineña	1424	YELLOW	yellow	jawa
Cavineña	179	RIPEN	ripen	jawane, jawawa
Cavineña	3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	jebu, kasa, weni
Cavineña	785	STRONG	strong	jebu, kasa, weni
Cavineña	1621	SNEEZE	sneeze	jechiu ju
Cavineña	136	HERE	here	jee, re, riya
Cavineña	1268	YES	yes	jejee
Cavineña	1633	FLAT	flat	jepe
Cavineña	1261	SING	sing	jeru
Cavineña	1096	SONG	song	jerujeru
Cavineña	1574	FLOAT	float	jeta
Cavineña	1441	FLY (MOVE THROUGH AIR)	fly (move through air)	jeta
Cavineña	1198	MANY	many	jetiama, umada
Cavineña	1035	GOOD	good	ji-
Cavineña	380	WRINKLED	wrinkled	jibijibi, ribiribi
Cavineña	544	SPICY	spicy	jiji
Cavineña	141	BURN (SOMETHING)	burn (something)	jiji, tiru, juju
Cavineña	1244	THICK	thick	jika, misi, time
Cavineña	1432	CUT	cut	jikwi
Cavineña	1778	APPROACH	approach	jipe, sita
Cavineña	2124	SMELL	smell	jiru
Cavineña	1539	BASKET	basket	jiti
Cavineña	1458	SAY	say	ju
Cavineña	549	COPULATE	copulate	jucha a
Cavineña	1360	DUCK	duck	juje, shiwishiwi
Cavineña	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	juji, tseri
Cavineña	2506	LOOSE	loose	juku, tseka
Cavineña	1203	LONG	long	junu-
Cavineña	2003	FLOW	flow	juri, rururu
Cavineña	1446	COME	come	kabeti
Cavineña	1278	VOMIT	vomit	kadakati
Cavineña	695	GO	go	kadujuti
Cavineña	129	CHOKE	choke	kajiruti
Cavineña	1917	TIE	tie	kaka, kere, piruri, risi
Cavineña	1580	ONLY	only	kamadya, tere
Cavineña	1407	BREATHE	breathe	kana, kanajeti
Cavineña	168	REST	rest	kanajara
Cavineña	1667	HOLE	hole	kani
Cavineña	962	WOMAN	woman	kapunati
Cavineña	1403	BITE	bite	karu
Cavineña	1996	GET TIRED	get tired	kastere
Cavineña	602	HIDE (CONCEAL)	hide (conceal)	katewa ju-, tewa
Cavineña	1423	FIGHT	fight	kati
Cavineña	1571	SELL	sell	katyati
Cavineña	2215	BECOME ANGRY	become angry	kawaiti
Cavineña	715	SHOUT	shout	keke, kike
Cavineña	1869	BUY	buy	kemi
Cavineña	492	THREE	three	kimisha
Cavineña	1243	WIDE	wide	kini
Cavineña	1156	OPEN	open	kisha, pakasha
Cavineña	1803	WOOD	wood	kububu
Cavineña	1337	PIG	pig	kuchi
Cavineña	908	DRUM	drum	kumukumu
Cavineña	159	SWEET POTATO	sweet potato	kunukaji, anuai
Cavineña	882	PARROT	parrot	kurakwa
Cavineña	321	CHEW	chew	kuru
Cavineña	1216	MOTHER	mother	kwaa
Cavineña	1970	CANOE	canoe	kwaba
Cavineña	1127	SEND	send	kwadisha
Cavineña	10	FIREWOOD	firewood	kwati
Cavineña	925	CASSAVA	cassava	kwawe
Cavineña	1159	FART	fart	kweji
Cavineña	960	WIND	wind	kwejiji
Cavineña	463	FELL (A TREE)	fell (a tree)	kwere
Cavineña	155	CHOP	chop	kwere, tubu
Cavineña	666	RIVER	river	kweri
Cavineña	1396	SHARP	sharp	kweru
Cavineña	251	SHARPEN (SOMETHING)	sharpen (something)	kwerutura
Cavineña	678	BEARD	beard	kwesa
Cavineña	1175	GHOST	ghost	kweya
Cavineña	124	THORN	thorn	kwija
Cavineña	1195	GIVE BIRTH	give birth	kwina
Cavineña	1090	BE BORN	be born	kwinana
Cavineña	1107	GO OUT	go out	kwinana
Cavineña	1494	DIE	die	maju
Cavineña	857	STONE	stone	makana
Cavineña	1358	ENEMY	enemy	makei
Cavineña	388	FISHNET	fishnet	malla
Cavineña	1482	SHOULDER	shoulder	mapa
Cavineña	1226	YEAR	year	mara
Cavineña	178	RIPE	ripe	mare
Cavineña	3653	COOKING POT	cooking pot	marikaka
Cavineña	2468	BAG	bag	mariku, shitara, shurumai
Cavineña	1884	HARD	hard	masa, paji
Cavineña	1624	EMPTY	empty	mema
Cavineña	371	PICK UP	pick up	mepe
Cavineña	7	GATHER	gather	mepe, rada, sika
Cavineña	1086	WORK (ACTIVITY)	work (activity)	mere
Cavineña	72	CLAW	claw	meshuru
Cavineña	1329	TOMORROW	tomorrow	metajudya
Cavineña	1374	RING	ring	metara
Cavineña	1277	HAND	hand	metuku
Cavineña	1215	THOU	thou	mi, mia
Cavineña	1433	HIT	hit	miri
Cavineña	1208	CAT	cat	mishi
Cavineña	739	FEED	feed	miwa
Cavineña	1234	SMOOTH	smooth	mumi, shabi
Cavineña	2	DUST	dust	muru
Cavineña	2069	SOAK (VERB)	soak (verb)	murya
Cavineña	1455	PULL	pull	mutsu, repe, tinu
Cavineña	606	GRASS	grass	muwawa, nutsa
Cavineña	1758	OLDER SISTER	older sister	naji, nasi
Cavineña	2324	GET WET	get wet	nakata
Cavineña	1289	BABY	baby	nana
Cavineña	1231	NEW	new	nana
Cavineña	1207	YOUNG	young	nana
Cavineña	138	BATHE	bathe	nawi
Cavineña	658	RAIN (PRECIPITATION)	rain (precipitation)	nei
Cavineña	1674	POOR	poor	nereka
Cavineña	1442	STAND	stand	neti, nitya
Cavineña	1463	DRUNK	drunk	nijuki
Cavineña	749	ENTER	enter	nubi
Cavineña	1839	CRY	cry	pa
Cavineña	1335	WHITE	white	paja
Cavineña	1280	FALL	fall	pajaka, riwi
Cavineña	1437	SPLIT	split	patsa
Cavineña	887	BITTER	bitter	patse
Cavineña	1493	ONE	one	peadya
Cavineña	360	FAN (ACTION)	fan (action)	pei
Cavineña	682	SIDE	side	pere
Cavineña	1819	LOOK	look	peta
Cavineña	2492	BOIL (SOMETHING)	boil (something)	petutu, sapa
Cavineña	699	SAD	sad	peyainime
Cavineña	1043	BRAID	braid	pika
Cavineña	52	SHIVER	shiver	piriri, tadada
Cavineña	352	UNTIE	untie	pisu
Cavineña	977	ARROW	arrow	piya
Cavineña	1913	PRESS	press	pudi
Cavineña	704	CLEAN	clean	pupi
Cavineña	735	OWL	owl	pupu
Cavineña	1418	DIG	dig	puru
Cavineña	601	LIE (MISLEAD)	lie (mislead)	pusha a-
Cavineña	1222	PENIS	penis	pusi
Cavineña	1398	DRY	dry	rara, ura
Cavineña	1094	FASTEN	fasten	risi
Cavineña	696	STIR	stir	ruke, taru
Cavineña	1174	YESTERDAY	yesterday	ryabarepa
Cavineña	2070	COMB (VERB)	comb (verb)	ryu
Cavineña	1468	LOOK FOR	look for	sare
Cavineña	680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	sarutana, siri
Cavineña	1425	GREEN	green	sawa
Cavineña	1959	RAW	raw	sawa
Cavineña	163	BLACK	black	sewe
Cavineña	1856	SOFT	soft	shabi
Cavineña	1173	EYEBROW	eyebrow	shipi
Cavineña	1324	SLIP	slip	shudiritana
Cavineña	1476	CHAIR	chair	silla
Cavineña	249	FOG	fog	sisewani
Cavineña	1936	DEER	deer	siwa, dukweri
Cavineña	1421	SUCK	suck	susu
Cavineña	1838	NAVEL	navel	suu
Cavineña	1542	ACCOMPANY	accompany	taji
Cavineña	1733	RAINBOW	rainbow	tajina
Cavineña	1654	LIGHTNING	lightning	tajita
Cavineña	275	PEEL	peel	taka
Cavineña	1318	CHICKEN	chicken	takure
Cavineña	2319	LID (COVER, CAP)	lid (cover, cap)	tapa
Cavineña	1983	SNORE	snore	tarara
Cavineña	1217	FATHER	father	tata
Cavineña	1585	SLEEP	sleep	tawi
Cavineña	1920	DREAM (SOMETHING)	dream (something)	tawi ju
Cavineña	1449	RUB	rub	tedi
Cavineña	1172	SHOOT	shoot	tekwa, mare
Cavineña	1046	SHUT	shut	teri
Cavineña	1686	BEHIND	behind	tibene
Cavineña	127	EXTINGUISH	extinguish	tikwa
Cavineña	670	ROOT	root	tiri
Cavineña	843	SPIDER	spider	tiriri
Cavineña	1218	ROPE	rope	tisu
Cavineña	1355	LAUGH	laugh	tsaa-
Cavineña	1519	RUN	run	tsajaja
Cavineña	38	SPREAD OUT	spread out	tsape
Cavineña	1923	ROUGH	rough	tseke
Cavineña	762	OUTSIDE	outside	tsekwe
Cavineña	1219	WORM	worm	tsena, tyunu
Cavineña	705	GO UP (ASCEND)	go up (ascend)	tsura
Cavineña	1182	NOISE	noise	tsuri
Cavineña	1363	VOICE	voice	tsuri
Cavineña	1831	MEET	meet	tsuru
Cavineña	1937	THERE	there	tume, tumi
Cavineña	1085	FOLLOW	follow	tupu
Cavineña	1457	SEW	sew	tutsu
Cavineña	1404	STRAIGHT	straight	tuyu
Cavineña	1447	GIVE	give	tya
Cavineña	1645	SHORT	short	tyubu
Cavineña	737	LIGHT (IGNITE)	light (ignite)	uda
Cavineña	630	LIGHT (RADIATION)	light (radiation)	uda
Cavineña	708	SHINE	shine	uda
Cavineña	2327	BECOME SICK	become sick	ujeje
Cavineña	1986	DISEASE	disease	ujeje
Cavineña	1847	SICK	sick	ujeje
Cavineña	1783	PAIN	pain	ujera
Cavineña	1759	OLDER BROTHER	older brother	uji, usi
Cavineña	879	COUGH	cough	ujuuju ju
Cavineña	612	HEAT	heat	uke
Cavineña	1286	HOT	hot	uke
Cavineña	1242	FEW	few	umae
Cavineña	1895	CLOTHES	clothes	una
Cavineña	619	ANIMAL	animal	upati, kwanubi
Cavineña	1453	WASH	wash	utsa
Cavineña	1486	PLANT (SOMETHING)	plant (something)	uwa
Cavineña	640	MUD	mud	uyuuyu
Cavineña	2390	PECCARY	peccary	waburasa, waburu
Cavineña	717	SWEET	sweet	waja
Cavineña	665	BEE	bee	waja, wanuwanu
Cavineña	1615	ESCAPE	escape	wana
Cavineña	956	FLEE	flee	wana
Cavineña	1199	WIFE	wife	wane
Cavineña	778	SMOKE (EXHAUST)	smoke (exhaust)	wani
Cavineña	203	MARRY	marry	wanya
Cavineña	1011	BRIDGE	bridge	warasha
Cavineña	2017	MIX	mix	wau
Cavineña	679	BRIGHT	bright	weka
Cavineña	729	DAWN	dawn	wekaka
Cavineña	1225	DAY (NOT NIGHT)	day (not night)	wekaka
Cavineña	1672	WRITE	write	wene
Cavineña	501	LIFT	lift	wesa
Cavineña	592	PISS	piss	wira
Cavineña	1142	URINE	urine	wira
Cavineña	1228	EARTH (SOIL)	earth (soil)	yawa
Cavineña	3603	EARTH OR LAND	earth or land	yawa
Cavineña	2159	GROUND	ground	yawa, uwa
Cavineña	1292	BAD	bad	yuama
	1275	ANSWER	answer	
	587	ANT	ant	
	1387	ARRIVE	arrive	
	2223	BE ANGRY	be angry	
	1533	BE HUNGRY	be hungry	
	1860	BEAD	bead	
	2004	BEND	bend	
	689	BETWEEN	between	
	731	BEVERAGE	beverage	
	937	BIRD	bird	
	806	BLANKET	blanket	
	175	BLOW (OF WIND)	blow (of wind)	
	837	BLUE	blue	
	379	BLUNT	blunt	
	1366	BOY	boy	
	2409	BROWN	brown	
	1428	BURNING	burning	
	1719	BURY	bury	
	3208	CENTER OR MIDDLE	center or middle	
	1188	CHARCOAL	charcoal	
	1750	CHOOSE	choose	
	1489	CLOUD	cloud	
	2341	CLOUDY	cloudy	
	1475	COMB	comb	
	581	COME BACK	come back	
	269	COOKED	cooked	
	3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	
	3456	CRAWL OR CREEP	crawl or creep	
	297	CROOKED	crooked	
	1520	CRUSH	crush	
	8	CURSE	curse	
	3472	DANCE (MOVEMENT)	dance (movement)	
	11	DARKNESS	darkness	
	1625	DEAD	dead	
	1973	DEMON	demon	
	681	DESTROY	destroy	
	1977	DEW	dew	
	119	DIVE	dive	
	813	DO	do	
	2374	DREAM	dream	
	750	DROP	drop	
	2866	DROP (SOMETHING)	drop (something)	
	981	ELBOW	elbow	
	928	EMBRACE	embrace	
	1629	EVENING	evening	
	1540	EYELASH	eyelash	
	675	FAECES (EXCREMENT)	faeces (excrement)	
	3861	FAIL	fail	
	3923	FEMALE ANIMAL	female animal	
	1258	FINGERNAIL	fingernail	
	232	FLEA	flea	
	1594	FLOUR	flour	
	777	FLUTE	flute	
	1504	FLY (INSECT)	fly (insect)	
	123	FOREHEAD	forehead	
	1523	FORGET	forget	
	2912	FORWARD	forward	
	503	FROG	frog	
	1429	FULL	full	
	694	GET	get	
	423	GET LOST	get lost	
	1334	GUTS	guts	
	1827	HARVEST CROPS	harvest crops	
	3749	HATE (LOATHING)	hate (loathing)	
	773	HAVE	have	
	307	HAWK	hawk	
	1341	HEAT UP	heat up	
	980	HEEL	heel	
	162	HICCOUGH	hiccough	
	2486	HIDE	hide	
	614	HILL	hill	
	46	HOLLOW OUT	hollow out	
	1239	HOW	how	
	1864	HUNGER	hunger	
	2561	HURT (SENSE PAIN)	hurt (sense pain)	
	2411	HURT (SOMEBODY)	hurt (somebody)	
	1883	IN FRONT OF	in front of	
	1041	INCREASE	increase	
	798	JAW	jaw	
	1743	JOIN	join	
	999	JOINT	joint	
	1829	JUMP	jump	
	66	KNEEL	kneel	
	320	LAME	lame	
	244	LEFT	left	
	319	LICK	lick	
	215	LIE DOWN	lie down	
	632	LIZARD	lizard	
	1660	LOSE	lose	
	377	LOUD	loud	
	506	MAIZE	maize	
	2334	MELT	melt	
	2827	MENSTRUATE	menstruate	
	635	MILK	milk	
	639	MOUNTAIN	mountain	
	1491	MOUSE	mouse	
	3452	MUCH	much	
	641	MUSHROOM	mushroom	
	1666	MUTE	mute	
	590	NAKED	naked	
	1267	NARROW	narrow	
	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	
	1942	NEAR	near	
	1333	NECK	neck	
	1961	NECKLACE	necklace	
	1240	NOT	not	
	2112	OLD (AGED)	old (aged)	
	2113	OLD (USED)	old (used)	
	406	OLD MAN	old man	
	907	OLD WOMAN	old woman	
	1149	ORPHAN	orphan	
	505	PARENTS	parents	
	1576	PILE UP	pile up	
	378	PINCH	pinch	
	652	PLAIN	plain	
	1413	PLAY	play	
	593	POTATO	potato	
	864	PUMPKIN	pumpkin	
	1808	PUS	pus	
	1253	RAIN (RAINING)	rain (raining)	
	1490	RAT	rat	
	156	RED	red	
	1019	RIGHT	right	
	1512	RISE (ONESELF)	rise (oneself)	
	3463	RIVERBANK	riverbank	
	1962	ROAST (SOMETHING)	roast (something)	
	827	ROLL	roll	
	769	ROOF	roof	
	671	SAND	sand	
	1767	SCRAPE	scrape	
	714	SEED	seed	
	855	SEIZE	seize	
	1359	SEPARATE	separate	
	231	SHAVE	shave	
	1649	SIT DOWN	sit down	
	2613	SKIN (HUMAN)	skin (human)	
	1586	SMELL (PERCEIVE)	smell (perceive)	
	1587	SMELL (STINK)	smell (stink)	
	1689	SMOKE (INHALE)	smoke (inhale)	
	1543	SNAIL	snail	
	1241	SOME	some	
	1623	SPEAK	speak	
	121	SPIN	spin	
	1440	SPIT	spit	
	3080	SPLIT OPEN	split open	
	2144	SPRING OR WELL	spring or well	
	1414	SQUEEZE	squeeze	
	1434	STAB	stab	
	1430	STAR	star	
	42	STINKING	stinking	
	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	
	1342	SUMMER	summer	
	1651	TEAR (OF EYE)	tear (of eye)	
	78	THAT	that	
	817	THEY	they	
	738	THING	thing	
	1415	THINK (REFLECT)	think (reflect)	
	1214	THIS	this	
	1161	THREAD	thread	
	1150	THUNDER	thunder	
	974	TOBACCO	tobacco	
	1170	TRAP (CATCH)	trap (catch)	
	1075	TRAP (PITFALL)	trap (pitfall)	
	1657	TRUE	true	
	1444	TURN AROUND	turn around	
	1005	TWINS	twins	
	1958	UNRIPE	unripe	
	1591	UP	up	
	471	UPPER LEG (THIGH)	upper leg (thigh)	
	1836	VAGINA	vagina	
	1837	VULVA	vulva	
	3174	WAKE UP (SOMEONE)	wake up (someone)	
	1784	WANT	want	
	1232	WARM	warm	
	133	WEAVE	weave	
	1236	WHAT	what	
	1238	WHEN	when	
	1237	WHERE	where	
	1025	WHISTLE	whistle	
	1235	WHO	who	
	1454	WIPE	wipe	
	1340	WITH	with	
	1109	WOUND	wound	
	3224	WRING	wring	
	1213	YOU	you	
	76	YOUNG MAN	young man	
	77	YOUNG WOMAN	young woman	
